unidade;ano;mes;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HJXXIII;2019;7;II;5 a 9;0,08;20;3;1,6
HJXXIII;2019;7;III;10 a 14;0,15;28;1;4,2
HJXXIII;2019;7;IV;15 a 19;0,25;52;8;13,0
HJXXIII;2019;7;V;20 a 24;0,4;18;4;7,2
HJXXIII;2019;7;VI;25 a 29;0,55;15;5;8,25
HJXXIII;2019;7;VII;30 a 34;0,75;4;4;3,0
HJXXIII;2019;8;III;10 a 14;0,15;31;2;4,65
HJXXIII;2019;8;IV;15 a 19;0,25;36;4;9,0
HJXXIII;2019;8;V;20 a 24;0,4;22;9;8,8
HJXXIII;2019;8;VI;25 a 29;0,55;10;3;5,5
HJXXIII;2019;8;VII;30 a 34;0,75;2;2;1,5
HJXXIII;2019;8;VIII;> 34;0,85;2;2;1,7
HJXXIII;2019;9;II;5 a 9;0,08;31;2;2,48
HJXXIII;2019;9;III;10 a 14;0,15;35;4;5,25
HJXXIII;2019;9;IV;15 a 19;0,25;24;5;6,0
HJXXIII;2019;9;V;20 a 24;0,4;15;6;6,0
HJXXIII;2019;9;VI;25 a 29;0,55;3;1;1,65
HJXXIII;2019;10;I;0 a 4;0,04;11;1;0,44
HJXXIII;2019;10;II;5 a 9;0,08;19;2;1,52
HJXXIII;2019;10;III;10 a 14;0,15;31;3;4,65
HJXXIII;2019;10;IV;15 a 19;0,25;11;1;2,75
HJXXIII;2019;10;V;20 a 24;0,4;19;10;7,6
HJXXIII;2019;10;VI;25 a 29;0,55;8;4;4,4
HJXXIII;2019;11;II;5 a 9;0,08;21;1;1,68
HJXXIII;2019;11;IV;15 a 19;0,25;23;4;5,75
HJXXIII;2019;11;VI;25 a 29;0,55;4;1;2,2
HJXXIII;2019;12;III;10 a 14;0,15;30;1;4,5
HJXXIII;2019;12;IV;15 a 19;0,25;16;2;4,0
HJXXIII;2019;12;V;20 a 24;0,4;15;5;6,0
HJXXIII;2019;12;VI;25 a 29;0,55;8;2;4,4
HJXXIII;2019;12;VII;30 a 34;0,75;2;2;1,5
HJXXIII;2020;1;II;5 a 9;0,08;26;3;2,08
HJXXIII;2020;1;III;10 a 14;0,15;24;1;3,6
HJXXIII;2020;1;IV;15 a 19;0,25;20;2;5,0
HJXXIII;2020;1;V;20 a 24;0,4;10;4;4,0
HJXXIII;2020;1;VI;25 a 29;0,55;3;1;1,65
HJXXIII;2020;2;II;5 a 9;0,08;36;2;2,88
HJXXIII;2020;2;III;10 a 14;0,15;36;2;5,4
HJXXIII;2020;2;IV;15 a 19;0,25;18;4;4,5
HJXXIII;2020;2;V;20 a 24;0,4;11;2;4,4
HJXXIII;2020;2;VI;25 a 29;0,55;4;2;2,2
HJXXIII;2020;3;I;0 a 4;0,04;8;1;0,32
HJXXIII;2020;3;II;5 a 9;0,08;20;1;1,6
HJXXIII;2020;3;III;10 a 14;0,15;36;3;5,4
HJXXIII;2020;3;IV;15 a 19;0,25;39;6;9,75
HJXXIII;2020;3;V;20 a 24;0,4;19;5;7,6
HJXXIII;2020;3;VI;25 a 29;0,55;7;4;3,85
HJXXIII;2020;4;III;10 a 14;0,15;25;1;3,75
HJXXIII;2020;4;IV;15 a 19;0,25;33;5;8,25
HJXXIII;2020;4;V;20 a 24;0,4;16;7;6,4
HJXXIII;2020;4;VI;25 a 29;0,55;10;7;5,5
HJXXIII;2020;4;VII;30 a 34;0,75;6;3;4,5
HJXXIII;2020;4;VIII;> 34;0,85;1;1;0,85
HJXXIII;2020;5;II;5 a 9;0,08;28;2;2,24
HJXXIII;2020;5;III;10 a 14;0,15;43;2;6,45
HJXXIII;2020;5;IV;15 a 19;0,25;22;4;5,5
