excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
02/2019;HRAD;2019,0;2,0;VIII;> 34;85,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;I;0 a 4;4,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;II;5 a 9;8,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;III;10 a 14;15,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;IV;15 a 19;25,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;V;20 a 24;40,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;VI;25 a 29;55,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;VII;30 a 34;75,0;0,0;0,0;0,0
02/2019;HRBJA;2019,0;2,0;VIII;> 34;85,0;0,0;0,0;0,0
02/2019;HRJP;2019,0;2,0;I;0 a 4;4,0;1,0;0,04;0,0
02/2019;HRJP;2019,0;2,0;II;5 a 9;8,0;3,0;0,24;0,0
02/2019;HRJP;2019,0;2,0;III;10 a 14;15,0;12,0;1,8;1,0
02/2019;HRJP;2019,0;2,0;IV;15 a 19;25,0;14,0;3,5;5,0
02/2019;HRJP;2019,0;2,0;V;20 a 24;40,0;0,0;0,0;0,0
02/2019;HRJP;2019,0;2,0;VI;25 a 29;55,0;0,0;0,0;0,0
02/2019;HRJP;2019,0;2,0;VII;30 a 34;75,0;0,0;0,0;0,0
02/2019;HRJP;2019,0;2,0;VIII;> 34;85,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;I;0 a 4;4,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;II;5 a 9;8,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;III;10 a 14;15,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;IV;15 a 19;25,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;V;20 a 24;40,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;VI;25 a 29;55,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;VII;30 a 34;75,0;0,0;0,0;0,0
02/2019;MOV;2019,0;2,0;VIII;> 34;85,0;0,0;0,0;0,0
03/2019;HAC;2019,0;3,0;I;0 a 4;4,0;3,0;0,12;0,0
03/2019;HAC;2019,0;3,0;II;5 a 9;8,0;9,0;0,72;0,0
03/2019;HAC;2019,0;3,0;III;10 a 14;15,0;10,0;1,5;0,0
03/2019;HAC;2019,0;3,0;IV;15 a 19;25,0;3,0;0,75;1,0
03/2019;HAC;2019,0;3,0;V;20 a 24;40,0;6,0;2,4;1,0
03/2019;HAC;2019,0;3,0;VI;25 a 29;55,0;3,0;1,65;0,0
03/2019;HAC;2019,0;3,0;VII;30 a 34;75,0;1,0;0,75;1,0
03/2019;HAC;2019,0;3,0;VIII;> 34;85,0;1,0;0,85;0,0
03/2019;HEM;2019,0;3,0;I;0 a 4;4,0;0,0;0,0;0,0
03/2019;HEM;2019,0;3,0;II;5 a 9;8,0;3,0;0,24;0,0
03/2019;HEM;2019,0;3,0;III;10 a 14;15,0;7,0;1,05;0,0
03/2019;HEM;2019,0;3,0;IV;15 a 19;25,0;18,0;4,5;5,0
03/2019;HEM;2019,0;3,0;V;20 a 24;40,0;2,0;0,8;1,0
03/2019;HEM;2019,0;3,0;VI;25 a 29;55,0;1,0;0,55;0,0
03/2019;HEM;2019,0;3,0;VII;30 a 34;75,0;5,0;3,75;3,0
03/2019;HEM;2019,0;3,0;VIII;> 34;85,0;1,0;0,85;1,0
03/2019;HJK;2019,0;3,0;I;0 a 4;4,0;112,0;4,5;8,0
03/2019;HJK;2019,0;3,0;II;5 a 9;8,0;227,0;18,18;23,0
03/2019;HJK;2019,0;3,0;III;10 a 14;15,0;283,0;42,6;16,0
03/2019;HJK;2019,0;3,0;IV;15 a 19;25,0;270,0;67,6;34,0
03/2019;HJK;2019,0;3,0;V;20 a 24;40,0;168,0;67,2;35,0
03/2019;HJK;2019,0;3,0;VI;25 a 29;55,0;80,0;44,099999999999994;27,0
03/2019;HJK;2019,0;3,0;VII;30 a 34;75,0;40,0;30,1;19,0
03/2019;HJK;2019,0;3,0;VIII;> 34;85,0;20,0;17,1;16,0
03/2019;HJXXIII;2019,0;3,0;I;0 a 4;4,0;3,0;0,12;0,0
03/2019;HJXXIII;2019,0;3,0;II;5 a 9;8,0;12,0;0,96;0,0
03/2019;HJXXIII;2019,0;3,0;III;10 a 14;15,0;39,0;5,85;2,0
03/2019;HJXXIII;2019,0;3,0;IV;15 a 19;25,0;40,0;10,0;5,0
03/2019;HJXXIII;2019,0;3,0;V;20 a 24;40,0;18,0;7,2;7,0
03/2019;HJXXIII;2019,0;3,0;VI;25 a 29;55,0;5,0;2,75;0,0
03/2019;HJXXIII;2019,0;3,0;VII;30 a 34;75,0;3,0;2,25;1,0
03/2019;HJXXIII;2019,0;3,0;VIII;> 34;85,0;4,0;3,4;2,0
03/2019;HRAD;2019,0;3,0;I;0 a 4;4,0;8,0;0,32;0,0
03/2019;HRAD;2019,0;3,0;II;5 a 9;8,0;18,0;1,44;0,0
03/2019;HRAD;2019,0;3,0;III;10 a 14;15,0;8,0;1,2;0,0
03/2019;HRAD;2019,0;3,0;IV;15 a 19;25,0;16,0;4,0;4,0
03/2019;HRAD;2019,0;3,0;V;20 a 24;40,0;14,0;5,6;5,0
03/2019;HRAD;2019,0;3,0;VI;25 a 29;55,0;3,0;1,6500000000000001;0,0
03/2019;HRAD;2019,0;3,0;VII;30 a 34;75,0;2,0;1,5;2,0
03/2019;HRAD;2019,0;3,0;VIII;> 34;85,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;I;0 a 4;4,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;II;5 a 9;8,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;III;10 a 14;15,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;IV;15 a 19;25,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;V;20 a 24;40,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;VI;25 a 29;55,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;VII;30 a 34;75,0;0,0;0,0;0,0
03/2019;HRBJA;2019,0;3,0;VIII;> 34;85,0;0,0;0,0;0,0
03/2019;HRJP;2019,0;3,0;I;0 a 4;4,0;0,0;0,0;0,0
03/2019;HRJP;2019,0;3,0;II;5 a 9;8,0;2,0;0,16;0,0
03/2019;HRJP;2019,0;3,0;III;10 a 14;15,0;15,0;2,25;1,0
03/2019;HRJP;2019,0;3,0;IV;15 a 19;25,0;13,0;3,25;2,0
03/2019;HRJP;2019,0;3,0;V;20 a 24;40,0;1,0;0,4;1,0
03/2019;HRJP;2019,0;3,0;VI;25 a 29;55,0;0,0;0,0;0,0
03/2019;HRJP;2019,0;3,0;VII;30 a 34;75,0;0,0;0,0;0,0
03/2019;HRJP;2019,0;3,0;VIII;> 34;85,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;I;0 a 4;4,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;II;5 a 9;8,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;III;10 a 14;15,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;IV;15 a 19;25,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;V;20 a 24;40,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;VI;25 a 29;55,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;VII;30 a 34;75,0;0,0;0,0;0,0
03/2019;MOV;2019,0;3,0;VIII;> 34;85,0;0,0;0,0;0,0
04/2019;HAC;2019,0;4,0;I;0 a 4;4,0;0,0;0,0;0,0
04/2019;HAC;2019,0;4,0;II;5 a 9;8,0;6,0;0,48;1,0
04/2019;HAC;2019,0;4,0;III;10 a 14;15,0;17,0;2,55;0,0
04/2019;HAC;2019,0;4,0;IV;15 a 19;25,0;9,0;2,25;0,0
04/2019;HAC;2019,0;4,0;V;20 a 24;40,0;4,0;1,6;2,0
04/2019;HAC;2019,0;4,0;VI;25 a 29;55,0;1,0;0,55;0,0
